Metric Name,Spearman ImageNet16-120,Spearman cifar10,Spearman cifar100,Kendall ImageNet16-120,Kendall cifar10,Kendall cifar100,Average
XGBoost,0.963517092293305,0.9689355809999798,0.9664373711268773,0.8495706599993311,0.8549746524080558,0.8493832520278372,0.9088031014758977
NonLinearModel,0.872009070612132,0.8663786124577448,0.9155003178908028,0.7008166207982472,0.6914353335241735,0.7542709450876152,0.8000684833951194
nwot,0.7797704965420407,0.7747321389797205,0.8048609926685956,0.5965121372500428,0.5848728610307693,0.618175606779481,0.6931540388751083
synflow,0.7507749243985364,0.7328575788863888,0.7613478720654778,0.559920152414344,0.5368212982863463,0.5665042118360814,0.6513710063145292
jacov,0.7186991207698928,0.7523157177099934,0.716129805907683,0.546548073293626,0.5753802026564211,0.5486567497037279,0.6429549450068907
params,0.6905542311293649,0.7154308711660661,0.7249969724398574,0.5191836686876148,0.5384536439292453,0.5499520931476181,0.6230952467499611
l2_norm,0.6911930154928887,0.679066324002369,0.7126153857214199,0.5015592731581174,0.48893599134190496,0.5187584180089869,0.5986880679542811
flops,0.6720589188858407,0.6905014468367743,0.7047139525175731,0.48573343355838566,0.49966680203728375,0.514213801194141,0.5944813925049998
snip,0.5780589964448626,0.5950118171173723,0.6352849762817709,0.43229597195871605,0.4332130292848226,0.4726121145841528,0.5244128176119495
grad_norm,0.5780816685775092,0.590340826548591,0.6360353745049108,0.42967481909217514,0.4286084628239926,0.4708389389623981,0.5222633484182628
epe_nas,0.3341653773216832,0.7139641682828369,0.6071235572014423,0.22889526093426485,0.5283353869307298,0.43524326787471945,0.4746211697576128
grasp,0.5477088939055449,0.5186330160605683,0.5450075911015443,0.3912604259041852,0.35721352703596415,0.3853916044765914,0.457535843080733
fisher,0.48950150515175755,0.5063892598885358,0.547300168014945,0.3649662784211206,0.3709124507180868,0.40447095407257155,0.4472567693778362
zen,0.4002774245307619,0.3549007210230635,0.3607395785911912,0.29466826133043705,0.2721651303122945,0.28151491126476585,0.327377671175419
LinearModel,-0.13240639419761202,0.4037265518772975,0.5221488979645973,-0.05951591814268863,0.2674749595344927,0.39356349387308476,0.2324985984848619
plain,-0.22266849893259413,-0.2666721367339178,-0.22851811454170906,-0.15240246926715795,-0.18174189555907988,-0.15594081308149,-0.2013239880193248
