,Ori name,New name,MASE_TYPE,Mase_OP,Original type,Quantized type,Changed
0,x,x,placeholder,placeholder,x,x,False
1,feature_layers_0,feature_layers_0,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
2,feature_layers_1,feature_layers_1,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
3,feature_layers_2,feature_layers_2,module_related_func,relu,ReLU,ReLU,False
4,feature_layers_3,feature_layers_3,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
5,feature_layers_4,feature_layers_4,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
6,feature_layers_5,feature_layers_5,module_related_func,relu,ReLU,ReLU,False
7,feature_layers_6,feature_layers_6,module_related_func,max_pool2d,MaxPool2d,MaxPool2d,False
8,feature_layers_7,feature_layers_7,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
9,feature_layers_8,feature_layers_8,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
10,feature_layers_9,feature_layers_9,module_related_func,relu,ReLU,ReLU,False
11,feature_layers_10,feature_layers_10,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
12,feature_layers_11,feature_layers_11,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
13,feature_layers_12,feature_layers_12,module_related_func,relu,ReLU,ReLU,False
14,feature_layers_13,feature_layers_13,module_related_func,max_pool2d,MaxPool2d,MaxPool2d,False
15,feature_layers_14,feature_layers_14,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
16,feature_layers_15,feature_layers_15,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
17,feature_layers_16,feature_layers_16,module_related_func,relu,ReLU,ReLU,False
18,feature_layers_17,feature_layers_17,module_related_func,conv2d,Conv2dInteger,Conv2dInteger,False
19,feature_layers_18,feature_layers_18,module,batch_norm2d,BatchNorm2d,BatchNorm2d,False
20,feature_layers_19,feature_layers_19,module_related_func,relu,ReLU,ReLU,False
21,feature_layers_20,feature_layers_20,module_related_func,max_pool2d,MaxPool2d,MaxPool2d,False
22,view,view,implicit_func,view,view,view,False
23,classifier_0,classifier_0,module_related_func,linear,LinearInteger,LinearInteger,False
24,classifier_1,classifier_1,module_related_func,relu,ReLU,ReLU,False
25,classifier_2,classifier_2,module_related_func,linear,LinearInteger,LinearInteger,False
26,classifier_3,classifier_3,module_related_func,relu,ReLU,ReLU,False
27,last_layer,last_layer,module_related_func,linear,LinearInteger,LinearInteger,False
28,output,output,output,output,output,output,False
